pt3ISO,TradeValue,rt3ISO,period,rgDesc
ABW,9279,CAN,2010,Export
ABW,49037,CAN,2005,Export
ABW,59708,COL,2010,Export
ABW,10138,COL,2005,Export
ABW,373,DOM,2015,Export
ABW,33595,FRA,2005,Export
ABW,918085,HND,2010,Export
ABW,1126783,HND,2005,Export
ABW,3995572,USA,2015,Export
ABW,2764295,USA,2010,Export
ABW,2795324,USA,2005,Export
ABW,12814,VEN,2005,Export
AFG,45000,BLR,2010,Export
AFG,21618,CHN,2010,Export
AFG,126826,CZE,2010,Export
AFG,185,CZE,2005,Export
AFG,539282,DEU,2010,Export
AFG,11000,DEU,2005,Export
AFG,58575,KAZ,2015,Export
AFG,248,PAK,2005,Import
AFG,34418797,RUS,2015,Export
AFG,57887798,RUS,2010,Export
AFG,25146362,RUS,2005,Export
AFG,139,SWE,2010,Export
AFG,2915,TUR,2010,Export
AFG,7732,TUR,2005,Export
AFG,18383,UKR,2015,Export
AFG,3735,UKR,2005,Export
AFG,14806,USA,2015,Export
AGO,267,BEL,2015,Export
AGO,47266,BRA,2015,Export
AGO,36333,BRA,2010,Export
AGO,39224,BRA,2005,Export
AGO,27292,CHE,2005,Export
AGO,49202,CHN,2015,Export
AGO,491255,CHN,2010,Export
AGO,60169,CHN,2005,Export
AGO,1326,FRA,2010,Export
AGO,3241,ITA,2015,Export
AGO,219,NAM,2010,Import
AGO,60459,NAM,2010,Export
AGO,56667,NAM,2005,Import
AGO,4759,NAM,2005,Export
AGO,17242,NLD,2010,Export
AGO,118157,PRT,2015,Export
AGO,127742,PRT,2010,Export
AGO,320177,PRT,2005,Export
AGO,7515,RUS,2005,Export
AGO,48,STP,2015,Import
AGO,3060,SVK,2010,Export
AGO,4163,USA,2015,Export
AGO,166296,USA,2005,Export
AGO,21082,ZAF,2015,Import
AGO,88426,ZAF,2010,Export
AGO,27732,ZAF,2005,Export
AGO,552,ZMB,2005,Export
AIA,8746,CAN,2015,Export
AIA,43078,CAN,2005,Export
AIA,212590,CHL,2005,Export
AIA,28730,UKR,2005,Export
AIA,831044,USA,2015,Export
AIA,205416,USA,2010,Export
AIA,622694,USA,2005,Export
ALB,5435,ALB,2005,Import
ALB,159587,AUT,2015,Export
ALB,1110939,AUT,2010,Export
ALB,50988,AUT,2005,Export
ALB,78532,BGR,2015,Export
ALB,33469,BGR,2010,Export
ALB,6185,BGR,2005,Export
ALB,4236582,BIH,2015,Export
ALB,4028476,BIH,2010,Export
ALB,3624523,BIH,2005,Export
ALB,26829,BRA,2010,Export
ALB,5013,CAN,2015,Export
ALB,31010,DOM,2010,Import
ALB,112238,DOM,2005,Import
ALB,655027,FIN,2015,Export
ALB,2257005,FIN,2010,Export
ALB,747234,FIN,2005,Export
ALB,68925,FRA,2010,Import
ALB,203086,GRC,2015,Import
ALB,473784,GRC,2015,Export
ALB,134848,GRC,2010,Import
ALB,1299875,GRC,2010,Export
ALB,23472,GRC,2005,Import
ALB,734456,GRC,2005,Export
ALB,9000,HUN,2010,Export
ALB,45600,ITA,2015,Import
ALB,48157,ITA,2015,Export
ALB,35648,ITA,2010,Import
ALB,409702,ITA,2010,Export
ALB,5845,ITA,2005,Import
ALB,102097,ITA,2005,Export
ALB,26906,LTU,2010,Export
ALB,19920,LUX,2005,Import
ALB,7410,LVA,2015,Export
ALB,7066,LVA,2010,Export
ALB,7362,MKD,2010,Export
ALB,1217,MKD,2005,Import
ALB,1053,MKD,2005,Export
ALB,1100141,MNE,2015,Export
ALB,1253825,MNE,2010,Export
ALB,17774,ROU,2015,Export
ALB,776095,ROU,2010,Export
ALB,194904,ROU,2005,Export
ALB,23965,RUS,2010,Export
ALB,5987,SRB,2010,Export
ALB,12742,SVK,2010,Export
ALB,792,SVN,2015,Export
ALB,135707,SVN,2010,Export
ALB,18556,SVN,2005,Export
ALB,2304320,SWE,2015,Export
ALB,2492946,SWE,2010,Export
ALB,1792037,SWE,2005,Export
ALB,223,TUR,2015,Export
ALB,65057,TUR,2005,Export
ALB,14378,UKR,2015,Export
ALB,348288,UKR,2010,Export
ALB,217238,UKR,2005,Export
ALB,24700,USA,2010,Export
ALB,9838,USA,2005,Export
AND,14121,CHE,2010,Export
AND,9046,CHN,2005,Import
AND,13350,DEU,2015,Export
AND,410558,ESP,2015,Export
AND,708110,ESP,2010,Export
AND,7555,ESP,2005,Import
AND,1731313,ESP,2005,Export
AND,15427,FRA,2015,Export
AND,10604,FRA,2010,Import
AND,3977,FRA,2010,Export
AND,589771,FRA,2005,Export
AND,4000,HUN,2005,Import
AND,7459,NLD,2005,Import
ANT,12970,ATG,2005,Import
ANT,2750,ATG,2005,Export
ANT,69687,BEL,2005,Export
ANT,15415,BRA,2005,Export
ANT,52834,CAN,2010,Export
ANT,42067,CAN,2005,Export
ANT,7659,CHE,2010,Export
ANT,26591,CHL,2010,Export
ANT,39767,FRA,2010,Export
ANT,19908,FRA,2005,Export
ANT,2841171,HND,2010,Export
ANT,2429347,HND,2005,Export
ANT,456,JAM,2005,Import
ANT,95,LCA,2010,Import
ANT,12616,PRT,2005,Export
ANT,4029952,USA,2005,Export
ANT,209,VEN,2005,Export
ARE,550,AGO,2010,Import
ARE,996956,ARG,2005,Export
ARE,1913,AUS,2015,Export
ARE,582104,AUS,2010,Export
ARE,72170,AUS,2005,Export
ARE,9239982,AUT,2015,Export
ARE,5694983,AUT,2010,Export
ARE,973723,AUT,2005,Export
ARE,15532,AZE,2005,Import
ARE,12524,BEL,2015,Export
ARE,725593,BEL,2010,Export
ARE,519912,BEL,2005,Export
ARE,14271,BFA,2015,Import
ARE,1026,BGR,2010,Export
ARE,26772,BGR,2005,Export
ARE,93320,BHR,2015,Import
ARE,388,BHR,2015,Export
ARE,250912,BHR,2010,Import
ARE,59527,BHR,2010,Export
ARE,30247,BHR,2005,Import
ARE,24501,BIH,2015,Import
ARE,7142513,BIH,2015,Export
ARE,145000,BLR,2015,Export
ARE,600,BLR,2010,Export
ARE,16272736,BRA,2015,Export
ARE,3907411,BRA,2010,Export
ARE,93412,BRA,2005,Export
ARE,26585,BRN,2015,Import
ARE,8585445,CAN,2015,Export
ARE,14145138,CAN,2010,Export
ARE,5896212,CAN,2005,Export
ARE,106088,CHE,2010,Export
ARE,13304,CHE,2005,Export
ARE,18287351,CHL,2015,Export
ARE,17755955,CHL,2010,Export
ARE,48731171,CHL,2005,Export
ARE,5055,CHN,2015,Export
ARE,107630,COM,2010,Import
ARE,7664,COM,2005,Import
ARE,266000,CZE,2010,Export
ARE,36066,CZE,2005,Export
ARE,37353267,DEU,2015,Export
ARE,24223954,DEU,2010,Export
ARE,512000,DEU,2005,Export
ARE,1726,DNK,2015,Export
ARE,5010,DNK,2010,Export
