,25-54,16+
1994-12-01,842.4566966372741,778.9366898495156
1995-01-01,840.4695962223892,777.7609887707087
1995-02-01,838.4931669091526,777.3131609465041
1995-03-01,837.8970576099792,778.0856528169339
1995-04-01,835.8940782408807,776.307890678395
1995-05-01,835.6276922596803,776.8662861984811
1995-06-01,834.5049056209729,775.7955048535237
1995-07-01,833.064389559745,774.4803813229399
1995-08-01,831.9624072102982,774.4702847303564
1995-09-01,831.3304062316112,775.4886111051879
1995-10-01,830.515930995281,776.3795618025014
1995-11-01,828.7513960004538,776.7076403079546
1995-12-01,828.3915348790615,776.3380530504328
1996-01-01,829.1021557051916,775.8470484803221
1996-02-01,829.4028383906498,775.369765348974
1996-03-01,827.9768696857021,773.5407857814413
1996-04-01,828.6531042849956,774.6745620009871
1996-05-01,826.8769473590074,772.8668673392102
1996-06-01,826.6010451551709,772.957773694613
1996-07-01,825.2168733052476,772.9793314572648
1996-08-01,824.7491669081252,773.4670716525969
1996-09-01,824.4572826497268,772.457275633541
1996-10-01,825.4441306968394,773.0525000672969
1996-11-01,828.104496373288,774.1749965897566
1996-12-01,826.3534985398406,772.1507027206529
1997-01-01,826.3528547298883,772.2378671531211
1997-02-01,827.265658353259,772.8460854999004
1997-03-01,828.0924414945516,773.7230981577377
1997-04-01,828.9511207308569,774.1912483655705
1997-05-01,828.938907538101,774.6157951464602
1997-06-01,828.6804474140896,774.2619061712613
1997-07-01,831.449117911453,774.1740191975135
1997-08-01,832.8714478042904,773.527171921489
1997-09-01,834.5898525283725,773.7362419103738
1997-10-01,834.1549125829075,772.3907339121116
1997-11-01,834.5836681220671,772.1650757407052
1997-12-01,838.1143040687324,773.5919734589685
1998-01-01,839.910118346612,775.0162266009141
1998-02-01,841.3859020094245,776.662273883499
1998-03-01,843.7842147795023,778.2501130690613
1998-04-01,845.2594246486709,779.7963819474248
1998-05-01,847.9783432128564,781.2406793182525
1998-06-01,850.7563182717375,782.703525839349
1998-07-01,853.321936063986,785.5032110670987
1998-08-01,856.2333427039931,787.6937474315736
1998-09-01,857.9166205228745,789.3332318855793
1998-10-01,861.7883539819421,793.277617815137
1998-11-01,864.0529363255438,796.167791881035
1998-12-01,866.3444596131076,800.2187665832145
1999-01-01,867.4848708981881,801.5566431045835
1999-02-01,867.5153972892413,801.7569334894583
1999-03-01,868.4308205530052,803.216682242943
1999-04-01,870.198656074666,804.3376047338083
1999-05-01,872.1339204825313,806.1081421392402
1999-06-01,875.0395118349779,808.7609821244561
1999-07-01,874.437418917505,809.7552436823772
1999-08-01,876.5686168146007,811.923471168086
1999-09-01,878.3364472891625,814.4014101681013
1999-10-01,879.3646840041278,815.6707798067561
1999-11-01,880.1934644965017,816.6484754478957
1999-12-01,881.136359932344,817.3331779709296
2000-01-01,882.1100973510735,819.7416321471104
2000-02-01,883.8896838415866,822.1911103830295
2000-03-01,884.0572711907747,823.6402006884641
2000-04-01,883.8007429467735,824.0943319215102
2000-05-01,884.4101748532781,824.9063604076041
2000-06-01,882.5434102800273,823.8693392201948
2000-07-01,882.8226943679347,824.408578322574
2000-08-01,882.2523452835852,826.5683909822125
2000-09-01,880.4814318826151,827.0665182888556
2000-10-01,878.6912818803058,826.4689107314626
2000-11-01,876.4928891831702,826.185767070951
2000-12-01,875.8680817635932,825.9087258708438
2001-01-01,876.2779767789051,825.0957168810619
2001-02-01,875.5918058503179,823.8643137248674
2001-03-01,875.2942869680041,822.4340863854662
2001-04-01,875.005370268494,824.4212953235902
2001-05-01,876.0184770137538,825.9460347029402
2001-06-01,878.3064752689501,827.0426516083763
2001-07-01,880.4534661301876,827.5185976666313
2001-08-01,881.3780423412568,828.0440691044304
2001-09-01,883.9978633499026,828.9945766624588
2001-10-01,886.5026258826482,830.2621334671359
2001-11-01,890.3600746174628,831.6883785071041
2001-12-01,892.0925213229513,833.3123981353045
2002-01-01,894.0545326439134,833.9491318938663
2002-02-01,897.6393451510422,836.5855155738544
2002-03-01,900.7012713752401,838.7351810960541
2002-04-01,903.3733141324498,838.1975655259799
2002-05-01,904.3254778813006,837.9209765476445
2002-06-01,904.8466489732663,839.882783823531
2002-07-01,905.5514384284626,841.5755312430474
2002-08-01,905.7610793498042,840.8174698016074
2002-09-01,905.795371512012,839.7692942775158
2002-10-01,905.453538412356,838.3708861425597
2002-11-01,907.097579458774,838.5842665260358
2002-12-01,906.4244453927367,836.8788212915462
2003-01-01,904.3794017480603,835.6482970206662
2003-02-01,902.8424867490394,834.574216055696
2003-03-01,903.2204444176967,833.8867519938885
2003-04-01,904.2282393066531,834.151645574765
2003-05-01,903.2876401789327,834.565725048761
2003-06-01,901.8462947679683,833.2352523617169
2003-07-01,900.860520613841,831.8364619123126
2003-08-01,901.484885268882,832.0717497911846
2003-09-01,900.8704252170922,832.8844936064112
2003-10-01,901.974387103228,835.4038179038657
2003-11-01,898.7028981551476,834.067393463417
2003-12-01,898.3402531887194,834.4232945926163
2004-01-01,899.4394710536893,834.6431087682081
2004-02-01,899.6544225481995,835.9196293314126
2004-03-01,899.1298637894356,837.4687834091443
2004-04-01,898.1927553747973,839.749222960515
2004-05-01,898.6615375880234,840.290857193132
2004-06-01,899.6994156222162,841.5034216056856
2004-07-01,900.369961954987,842.6945397571408
2004-08-01,899.2529009812871,842.5782164425809
2004-09-01,899.6087206646639,842.2860853321189
2004-10-01,899.3045543054449,840.6634621560032
2004-11-01,900.5550481603326,842.0608392380173
2004-12-01,900.3312385755938,843.1533194406915
2005-01-01,900.3479842843627,844.514399148237
2005-02-01,898.8732233763667,844.0927088151496
2005-03-01,897.8151543149671,842.9572510094509
2005-04-01,895.3563067809322,839.9862595125484
2005-05-01,895.0999318923253,838.9088410422631
2005-06-01,894.5643912693316,838.2625686138473
2005-07-01,893.6496984214941,837.4368937537097
2005-08-01,892.2898671396159,837.1207453346077
2005-09-01,890.1996691838358,836.6279558746215
2005-10-01,887.9044400494862,835.1628839996819
2005-11-01,885.4736409738299,833.8753522771549
2005-12-01,884.3796354558158,833.5002032250972
2006-01-01,882.2761144246782,833.1569518423908
2006-02-01,881.7808399317609,832.7716304591576
2006-03-01,881.1911754674311,832.8533752213466
